u,v,w
-4.3532800227665615e-06,-1.6026405800218093e-05,1.4873033741215974e-06
-2.9323926170010955e-06,-1.611218934376865e-05,-4.369410009052413e-06
-1.104109486859347e-06,-1.4302843150283884e-05,-9.875617584136987e-06
-1.3335400368522483e-06,-1.4331871159390418e-05,-9.953508550237602e-06
7.067461969906613e-07,-1.0753003435974844e-05,-1.455407556032618e-05
2.7782658228730306e-06,-5.7601669567465845e-06,-1.7685285821765884e-05
4.657960898676887e-06,1.3166333118368859e-07,-1.8954020110874495e-05
6.134195316433926e-06,6.269817793598211e-06,-1.816051903237908e-05
7.032191300755756e-06,1.1935831234314782e-05,-1.5350522690490605e-05
7.239656395974754e-06,1.6447036960486755e-05,-1.0834172061235372e-05
6.72674880523611e-06,1.9266322106493142e-05,-5.152421352257423e-06
5.553433223285594e-06,2.0086071982092342e-05,1.008435633107838e-06
3.860547734790853e-06,1.886049948179864e-05,6.928191852727526e-06
1.8472105133882884e-06,1.578554087238359e-05,1.195469684972558e-05
-2.582344989913572e-07,1.1246431508239575e-05,1.5574012500357568e-05
-2.2266692393281513e-06,5.7557720505154865e-06,1.7447021838989355e-05
-3.8521532719812755e-06,-1.0527817081060809e-07,1.7422162067279332e-05
-4.970367664286441e-06,-5.740138061683023e-06,1.5533597223936807e-05
-5.471721058084446e-06,-1.0585575489829552e-05,1.1989187496093109e-05
-5.309300834643351e-06,-1.4156628080262619e-05,7.149123472364193e-06
-4.501659792658859e-06,-1.6086396415966894e-05,1.4954352012036123e-06
-3.130493501924056e-06,-1.6158682351761083e-05,-4.406597704911189e-06
-1.3335400368522547e-06,-1.4331871159390448e-05,-9.953508550237611e-06
-1.5800736346836314e-06,-1.4470938852670165e-05,-1.0051636610623298e-05
4.621917543081409e-07,-1.085705540194388e-05,-1.4717472290463508e-05
2.5646288509756145e-06,-5.812069288523772e-06,-1.7900247066790263e-05
4.504108993867196e-06,1.488471269635718e-07,-1.9196087463533507e-05
6.063395511016978e-06,6.3669940080081235e-06,-1.839350710563912e-05
7.0560915474175856e-06,1.2110469404118335e-05,-1.5531047042351054e-05
7.354546470667488e-06,1.6678810656157143e-05,-1.09223704522409e-05
6.914406974694355e-06,1.952020622841523e-05,-5.1245056123964566e-06
5.786303540684513e-06,2.0322490051325087e-05,1.1529638842950964e-06
4.10845052953272e-06,1.904683723505536e-05,7.168555705200245e-06
2.0825730222437777e-06,1.5903015538549312e-05,1.2257614735073633e-05
-5.781124754487334e-08,1.1290549216801554e-05,1.5903517929606545e-05
-2.0778856801613667e-06,5.732598500853613e-06,1.7771224660258438e-05
-3.766342080582564e-06,-1.8386863207052786e-07,1.7716112435296677e-05
-4.9538554541850315e-06,-5.8602497749899585e-06,1.577940939978412e-05
-5.525928691711529e-06,-1.073353713029862e-05,1.217489400785378e-05
-5.4306039352943445e-06,-1.4319878343129128e-05,7.267260031308309e-06
-4.681121908457392e-06,-1.6253365828852625e-05,1.5418748754208096e-06
-3.3535925430032426e-06,-1.6317960470164095e-05,-4.433252061424535e-06
-1.5800736346836358e-06,-1.4470938852670195e-05,-1.0051636610623316e-05
-1.8328727856526881e-06,-1.4664086784406388e-05,-1.0131564489433483e-05
2.1236338130135088e-07,-1.10156758254048e-05,-1.4878419228839395e-05
2.3478066890218664e-06,-5.911087118272278e-06,-1.8131227318464558e-05
4.350426618140551e-06,1.3588953164812505e-07,-1.9470126198147908e-05
5.996584276455041e-06,6.458411253640646e-06,-1.8665551095065346e-05
7.086552871894379e-06,1.2304881743222001e-05,-1.574454433789539e-05
7.4755070028736175e-06,1.6948933843446007e-05,-1.1025112003536149e-05
7.103847561977792e-06,1.981831764772235e-05,-5.086567806490297e-06
